,n,epsilon,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
0,500,0.3,10,500,0.81,3.0599518150804808
1,500,0.3,10,550,0.806,3.0599518150804808
2,500,0.3,10,600,0.8260000000000001,3.0599518150804808
3,500,0.3,10,650,0.856,3.0599518150804808
4,500,0.3,10,700,0.9,3.0599518150804808
5,500,0.3,10,750,0.86,3.0599518150804808
6,500,0.3,10,800,0.892,3.0599518150804808
7,500,0.3,10,850,0.882,3.0599518150804808
8,500,0.3,10,900,0.904,3.0599518150804808
9,500,0.3,10,950,0.922,3.0599518150804808
10,500,0.4,10,500,0.866,2.506525403199907
11,500,0.4,10,550,0.88,2.506525403199907
12,500,0.4,10,600,0.912,2.506525403199907
13,500,0.4,10,650,0.9,2.506525403199907
14,500,0.4,10,700,0.926,2.506525403199907
15,500,0.4,10,750,0.946,2.506525403199907
16,500,0.4,10,800,0.938,2.506525403199907
17,500,0.4,10,850,0.958,2.506525403199907
18,500,0.4,10,900,0.952,2.506525403199907
19,500,0.4,10,950,0.968,2.506525403199907
20,500,0.5,10,500,0.902,2.1589754794004445
21,500,0.5,10,550,0.956,2.1589754794004445
22,500,0.5,10,600,0.942,2.1589754794004445
23,500,0.5,10,650,0.966,2.1589754794004445
24,500,0.5,10,700,0.954,2.1589754794004445
25,500,0.5,10,750,0.97,2.1589754794004445
26,500,0.5,10,800,0.988,2.1589754794004445
27,500,0.5,10,850,0.98,2.1589754794004445
28,500,0.5,10,900,0.99,2.1589754794004445
29,500,0.5,10,950,0.978,2.1589754794004445
30,500,0.6,10,500,0.9339999999999999,1.2685290552370951
31,500,0.6,10,550,0.944,1.2685290552370951
32,500,0.6,10,600,0.982,1.2685290552370951
33,500,0.6,10,650,0.98,1.2685290552370951
34,500,0.6,10,700,0.986,1.2685290552370951
35,500,0.6,10,750,0.996,1.2685290552370951
36,500,0.6,10,800,0.994,1.2685290552370951
37,500,0.6,10,850,0.996,1.2685290552370951
38,500,0.6,10,900,0.992,1.2685290552370951
39,500,0.6,10,950,0.996,1.2685290552370951
40,500,0.7,10,500,0.976,1.219705677174889
41,500,0.7,10,550,0.956,1.219705677174889
42,500,0.7,10,600,0.996,1.219705677174889
43,500,0.7,10,650,0.996,1.219705677174889
44,500,0.7,10,700,0.994,1.219705677174889
45,500,0.7,10,750,0.994,1.219705677174889
46,500,0.7,10,800,1.0,1.219705677174889
47,500,0.7,10,850,1.0,1.219705677174889
48,500,0.7,10,900,0.996,1.219705677174889
49,500,0.7,10,950,1.0,1.219705677174889
50,500,0.8,10,500,0.976,1.053157496724121
51,500,0.8,10,550,0.996,1.053157496724121
52,500,0.8,10,600,0.992,1.053157496724121
53,500,0.8,10,650,0.996,1.053157496724121
54,500,0.8,10,700,0.998,1.053157496724121
55,500,0.8,10,750,1.0,1.053157496724121
56,500,0.8,10,800,1.0,1.053157496724121
57,500,0.8,10,850,0.998,1.053157496724121
58,500,0.8,10,900,1.0,1.053157496724121
59,500,0.8,10,950,1.0,1.053157496724121
60,500,0.9,10,500,0.992,1.1975777919197486
61,500,0.9,10,550,0.998,1.1975777919197486
62,500,0.9,10,600,0.998,1.1975777919197486
63,500,0.9,10,650,1.0,1.1975777919197486
64,500,0.9,10,700,0.996,1.1975777919197486
65,500,0.9,10,750,1.0,1.1975777919197486
66,500,0.9,10,800,1.0,1.1975777919197486
67,500,0.9,10,850,1.0,1.1975777919197486
68,500,0.9,10,900,1.0,1.1975777919197486
69,500,0.9,10,950,1.0,1.1975777919197486
70,500,1.0,10,500,0.998,0.9407110903903617
71,500,1.0,10,550,1.0,0.9407110903903617
72,500,1.0,10,600,1.0,0.9407110903903617
73,500,1.0,10,650,0.998,0.9407110903903617
74,500,1.0,10,700,1.0,0.9407110903903617
75,500,1.0,10,750,1.0,0.9407110903903617
76,500,1.0,10,800,1.0,0.9407110903903617
77,500,1.0,10,850,1.0,0.9407110903903617
78,500,1.0,10,900,1.0,0.9407110903903617
79,500,1.0,10,950,1.0,0.9407110903903617
80,500,1.1,10,500,1.0,0.8501735767467932
81,500,1.1,10,550,1.0,0.8501735767467932
82,500,1.1,10,600,1.0,0.8501735767467932
83,500,1.1,10,650,1.0,0.8501735767467932
84,500,1.1,10,700,1.0,0.8501735767467932
85,500,1.1,10,750,1.0,0.8501735767467932
86,500,1.1,10,800,1.0,0.8501735767467932
87,500,1.1,10,850,1.0,0.8501735767467932
88,500,1.1,10,900,1.0,0.8501735767467932
89,500,1.1,10,950,1.0,0.8501735767467932
90,500,1.2,10,500,0.998,0.7148101770309112
91,500,1.2,10,550,1.0,0.7148101770309112
92,500,1.2,10,600,1.0,0.7148101770309112
93,500,1.2,10,650,1.0,0.7148101770309112
94,500,1.2,10,700,1.0,0.7148101770309112
95,500,1.2,10,750,1.0,0.7148101770309112
96,500,1.2,10,800,1.0,0.7148101770309112
97,500,1.2,10,850,1.0,0.7148101770309112
98,500,1.2,10,900,1.0,0.7148101770309112
99,500,1.2,10,950,1.0,0.7148101770309112
100,500,1.3,10,500,0.998,0.7896672543476274
101,500,1.3,10,550,1.0,0.7896672543476274
102,500,1.3,10,600,1.0,0.7896672543476274
103,500,1.3,10,650,1.0,0.7896672543476274
104,500,1.3,10,700,1.0,0.7896672543476274
105,500,1.3,10,750,1.0,0.7896672543476274
106,500,1.3,10,800,1.0,0.7896672543476274
107,500,1.3,10,850,1.0,0.7896672543476274
108,500,1.3,10,900,1.0,0.7896672543476274
109,500,1.3,10,950,1.0,0.7896672543476274
110,500,1.4,10,500,1.0,0.6758082208214189
111,500,1.4,10,550,1.0,0.6758082208214189
112,500,1.4,10,600,1.0,0.6758082208214189
113,500,1.4,10,650,1.0,0.6758082208214189
114,500,1.4,10,700,1.0,0.6758082208214189
115,500,1.4,10,750,1.0,0.6758082208214189
116,500,1.4,10,800,1.0,0.6758082208214189
117,500,1.4,10,850,1.0,0.6758082208214189
118,500,1.4,10,900,1.0,0.6758082208214189
119,500,1.4,10,950,1.0,0.6758082208214189
