,trial,n,epsilon,delta,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
0,0,500,0.3,1,10,400,0.78,3.328170391596049
1,0,500,0.3,1,10,450,0.798,3.328170391596049
2,0,500,0.3,1,10,500,0.782,3.328170391596049
3,0,500,0.3,1,10,550,0.806,3.328170391596049
4,0,500,0.3,1,10,600,0.834,3.328170391596049
5,0,500,0.3,1,10,650,0.8160000000000001,3.328170391596049
6,0,500,0.3,1,10,700,0.8220000000000001,3.328170391596049
7,0,500,0.3,1,10,750,0.846,3.328170391596049
8,0,500,0.3,1,10,800,0.83,3.328170391596049
9,0,500,0.3,1,10,850,0.846,3.328170391596049
10,0,500,0.3,1,10,900,0.846,3.328170391596049
11,0,500,0.3,1,10,950,0.86,3.328170391596049
12,0,500,0.4,1,10,400,0.83,2.606738821418148
13,0,500,0.4,1,10,450,0.838,2.606738821418148
14,0,500,0.4,1,10,500,0.856,2.606738821418148
15,0,500,0.4,1,10,550,0.906,2.606738821418148
16,0,500,0.4,1,10,600,0.904,2.606738821418148
17,0,500,0.4,1,10,650,0.912,2.606738821418148
18,0,500,0.4,1,10,700,0.928,2.606738821418148
19,0,500,0.4,1,10,750,0.924,2.606738821418148
20,0,500,0.4,1,10,800,0.94,2.606738821418148
21,0,500,0.4,1,10,850,0.942,2.606738821418148
22,0,500,0.4,1,10,900,0.97,2.606738821418148
23,0,500,0.4,1,10,950,0.972,2.606738821418148
24,0,500,0.5,1,10,400,0.89,1.3174266250794804
25,0,500,0.5,1,10,450,0.876,1.3174266250794804
26,0,500,0.5,1,10,500,0.9299999999999999,1.3174266250794804
27,0,500,0.5,1,10,550,0.944,1.3174266250794804
28,0,500,0.5,1,10,600,0.938,1.3174266250794804
29,0,500,0.5,1,10,650,0.976,1.3174266250794804
30,0,500,0.5,1,10,700,0.992,1.3174266250794804
31,0,500,0.5,1,10,750,0.99,1.3174266250794804
32,0,500,0.5,1,10,800,0.99,1.3174266250794804
33,0,500,0.5,1,10,850,0.998,1.3174266250794804
34,0,500,0.5,1,10,900,0.996,1.3174266250794804
35,0,500,0.5,1,10,950,0.996,1.3174266250794804
36,0,500,0.6,1,10,400,0.92,0.956536613023377
37,0,500,0.6,1,10,450,0.9299999999999999,0.956536613023377
38,0,500,0.6,1,10,500,0.95,0.956536613023377
39,0,500,0.6,1,10,550,0.962,0.956536613023377
40,0,500,0.6,1,10,600,0.986,0.956536613023377
41,0,500,0.6,1,10,650,0.99,0.956536613023377
42,0,500,0.6,1,10,700,0.998,0.956536613023377
43,0,500,0.6,1,10,750,1.0,0.956536613023377
44,0,500,0.6,1,10,800,0.998,0.956536613023377
45,0,500,0.6,1,10,850,1.0,0.956536613023377
46,0,500,0.6,1,10,900,1.0,0.956536613023377
47,0,500,0.6,1,10,950,1.0,0.956536613023377
48,0,500,0.7,1,10,400,0.924,0.7304002488339006
49,0,500,0.7,1,10,450,0.952,0.7304002488339006
50,0,500,0.7,1,10,500,0.958,0.7304002488339006
51,0,500,0.7,1,10,550,0.976,0.7304002488339006
52,0,500,0.7,1,10,600,0.998,0.7304002488339006
53,0,500,0.7,1,10,650,1.0,0.7304002488339006
54,0,500,0.7,1,10,700,1.0,0.7304002488339006
55,0,500,0.7,1,10,750,1.0,0.7304002488339006
56,0,500,0.7,1,10,800,1.0,0.7304002488339006
57,0,500,0.7,1,10,850,1.0,0.7304002488339006
58,0,500,0.7,1,10,900,1.0,0.7304002488339006
59,0,500,0.7,1,10,950,1.0,0.7304002488339006
60,0,500,0.8,1,10,400,0.924,0.5548869040789622
61,0,500,0.8,1,10,450,0.944,0.5548869040789622
62,0,500,0.8,1,10,500,0.978,0.5548869040789622
63,0,500,0.8,1,10,550,0.986,0.5548869040789622
64,0,500,0.8,1,10,600,0.992,0.5548869040789622
65,0,500,0.8,1,10,650,1.0,0.5548869040789622
66,0,500,0.8,1,10,700,1.0,0.5548869040789622
67,0,500,0.8,1,10,750,1.0,0.5548869040789622
68,0,500,0.8,1,10,800,1.0,0.5548869040789622
69,0,500,0.8,1,10,850,1.0,0.5548869040789622
70,0,500,0.8,1,10,900,1.0,0.5548869040789622
71,0,500,0.8,1,10,950,1.0,0.5548869040789622
72,0,500,0.9,1,10,400,0.94,0.3924324549056035
73,0,500,0.9,1,10,450,0.952,0.3924324549056035
74,0,500,0.9,1,10,500,0.972,0.3924324549056035
75,0,500,0.9,1,10,550,0.994,0.3924324549056035
76,0,500,0.9,1,10,600,1.0,0.3924324549056035
77,0,500,0.9,1,10,650,1.0,0.3924324549056035
78,0,500,0.9,1,10,700,1.0,0.3924324549056035
79,0,500,0.9,1,10,750,1.0,0.3924324549056035
80,0,500,0.9,1,10,800,1.0,0.3924324549056035
81,0,500,0.9,1,10,850,1.0,0.3924324549056035
82,0,500,0.9,1,10,900,1.0,0.3924324549056035
83,0,500,0.9,1,10,950,1.0,0.3924324549056035
84,0,500,1.0,1,10,400,0.924,0.38023691227249173
85,0,500,1.0,1,10,450,0.962,0.38023691227249173
86,0,500,1.0,1,10,500,0.974,0.38023691227249173
87,0,500,1.0,1,10,550,0.996,0.38023691227249173
88,0,500,1.0,1,10,600,1.0,0.38023691227249173
89,0,500,1.0,1,10,650,1.0,0.38023691227249173
90,0,500,1.0,1,10,700,1.0,0.38023691227249173
91,0,500,1.0,1,10,750,1.0,0.38023691227249173
92,0,500,1.0,1,10,800,1.0,0.38023691227249173
93,0,500,1.0,1,10,850,1.0,0.38023691227249173
94,0,500,1.0,1,10,900,1.0,0.38023691227249173
95,0,500,1.0,1,10,950,1.0,0.38023691227249173
96,0,500,1.1,1,10,400,0.96,0.3084939659008137
97,0,500,1.1,1,10,450,0.964,0.3084939659008137
98,0,500,1.1,1,10,500,0.974,0.3084939659008137
99,0,500,1.1,1,10,550,0.996,0.3084939659008137
100,0,500,1.1,1,10,600,1.0,0.3084939659008137
101,0,500,1.1,1,10,650,1.0,0.3084939659008137
102,0,500,1.1,1,10,700,1.0,0.3084939659008137
103,0,500,1.1,1,10,750,1.0,0.3084939659008137
104,0,500,1.1,1,10,800,1.0,0.3084939659008137
105,0,500,1.1,1,10,850,1.0,0.3084939659008137
106,0,500,1.1,1,10,900,1.0,0.3084939659008137
107,0,500,1.1,1,10,950,1.0,0.3084939659008137
108,0,500,1.2,1,10,400,0.962,0.2319200435455182
109,0,500,1.2,1,10,450,0.962,0.2319200435455182
110,0,500,1.2,1,10,500,0.972,0.2319200435455182
111,0,500,1.2,1,10,550,0.998,0.2319200435455182
112,0,500,1.2,1,10,600,0.998,0.2319200435455182
113,0,500,1.2,1,10,650,1.0,0.2319200435455182
114,0,500,1.2,1,10,700,1.0,0.2319200435455182
115,0,500,1.2,1,10,750,1.0,0.2319200435455182
116,0,500,1.2,1,10,800,1.0,0.2319200435455182
117,0,500,1.2,1,10,850,1.0,0.2319200435455182
118,0,500,1.2,1,10,900,1.0,0.2319200435455182
119,0,500,1.2,1,10,950,1.0,0.2319200435455182
120,0,500,1.3,1,10,400,0.942,0.19392923032379542
121,0,500,1.3,1,10,450,0.964,0.19392923032379542
122,0,500,1.3,1,10,500,0.972,0.19392923032379542
123,0,500,1.3,1,10,550,0.988,0.19392923032379542
124,0,500,1.3,1,10,600,1.0,0.19392923032379542
125,0,500,1.3,1,10,650,1.0,0.19392923032379542
126,0,500,1.3,1,10,700,1.0,0.19392923032379542
127,0,500,1.3,1,10,750,1.0,0.19392923032379542
128,0,500,1.3,1,10,800,1.0,0.19392923032379542
129,0,500,1.3,1,10,850,1.0,0.19392923032379542
130,0,500,1.3,1,10,900,1.0,0.19392923032379542
131,0,500,1.3,1,10,950,1.0,0.19392923032379542
132,0,500,1.4,1,10,400,0.966,0.18070596802282465
133,0,500,1.4,1,10,450,0.962,0.18070596802282465
134,0,500,1.4,1,10,500,0.982,0.18070596802282465
135,0,500,1.4,1,10,550,0.996,0.18070596802282465
136,0,500,1.4,1,10,600,1.0,0.18070596802282465
137,0,500,1.4,1,10,650,1.0,0.18070596802282465
138,0,500,1.4,1,10,700,1.0,0.18070596802282465
139,0,500,1.4,1,10,750,1.0,0.18070596802282465
140,0,500,1.4,1,10,800,1.0,0.18070596802282465
141,0,500,1.4,1,10,850,1.0,0.18070596802282465
142,0,500,1.4,1,10,900,1.0,0.18070596802282465
143,0,500,1.4,1,10,950,1.0,0.18070596802282465
144,1,500,0.3,1,10,400,0.762,4.204491210282558
145,1,500,0.3,1,10,450,0.728,4.204491210282558
146,1,500,0.3,1,10,500,0.794,4.204491210282558
147,1,500,0.3,1,10,550,0.792,4.204491210282558
148,1,500,0.3,1,10,600,0.808,4.204491210282558
149,1,500,0.3,1,10,650,0.8160000000000001,4.204491210282558
150,1,500,0.3,1,10,700,0.844,4.204491210282558
151,1,500,0.3,1,10,750,0.8280000000000001,4.204491210282558
152,1,500,0.3,1,10,800,0.85,4.204491210282558
153,1,500,0.3,1,10,850,0.858,4.204491210282558
154,1,500,0.3,1,10,900,0.832,4.204491210282558
155,1,500,0.3,1,10,950,0.834,4.204491210282558
156,1,500,0.4,1,10,400,0.842,2.165550042229416
157,1,500,0.4,1,10,450,0.866,2.165550042229416
158,1,500,0.4,1,10,500,0.87,2.165550042229416
159,1,500,0.4,1,10,550,0.91,2.165550042229416
160,1,500,0.4,1,10,600,0.916,2.165550042229416
161,1,500,0.4,1,10,650,0.916,2.165550042229416
162,1,500,0.4,1,10,700,0.924,2.165550042229416
163,1,500,0.4,1,10,750,0.924,2.165550042229416
164,1,500,0.4,1,10,800,0.958,2.165550042229416
165,1,500,0.4,1,10,850,0.952,2.165550042229416
166,1,500,0.4,1,10,900,0.958,2.165550042229416
167,1,500,0.4,1,10,950,0.982,2.165550042229416
168,1,500,0.5,1,10,400,0.892,1.2829556795942845
169,1,500,0.5,1,10,450,0.874,1.2829556795942845
170,1,500,0.5,1,10,500,0.938,1.2829556795942845
171,1,500,0.5,1,10,550,0.9359999999999999,1.2829556795942845
172,1,500,0.5,1,10,600,0.952,1.2829556795942845
173,1,500,0.5,1,10,650,0.984,1.2829556795942845
174,1,500,0.5,1,10,700,0.976,1.2829556795942845
175,1,500,0.5,1,10,750,0.984,1.2829556795942845
176,1,500,0.5,1,10,800,0.986,1.2829556795942845
177,1,500,0.5,1,10,850,0.996,1.2829556795942845
178,1,500,0.5,1,10,900,1.0,1.2829556795942845
179,1,500,0.5,1,10,950,0.996,1.2829556795942845
180,1,500,0.6,1,10,400,0.888,0.8118651710698513
181,1,500,0.6,1,10,450,0.94,0.8118651710698513
182,1,500,0.6,1,10,500,0.94,0.8118651710698513
183,1,500,0.6,1,10,550,0.948,0.8118651710698513
184,1,500,0.6,1,10,600,0.976,0.8118651710698513
185,1,500,0.6,1,10,650,0.998,0.8118651710698513
186,1,500,0.6,1,10,700,0.992,0.8118651710698513
187,1,500,0.6,1,10,750,0.998,0.8118651710698513
188,1,500,0.6,1,10,800,1.0,0.8118651710698513
189,1,500,0.6,1,10,850,1.0,0.8118651710698513
190,1,500,0.6,1,10,900,1.0,0.8118651710698513
191,1,500,0.6,1,10,950,1.0,0.8118651710698513
192,1,500,0.7,1,10,400,0.918,0.8382223369027639
193,1,500,0.7,1,10,450,0.9359999999999999,0.8382223369027639
194,1,500,0.7,1,10,500,0.966,0.8382223369027639
195,1,500,0.7,1,10,550,0.976,0.8382223369027639
196,1,500,0.7,1,10,600,0.996,0.8382223369027639
197,1,500,0.7,1,10,650,0.996,0.8382223369027639
198,1,500,0.7,1,10,700,1.0,0.8382223369027639
199,1,500,0.7,1,10,750,1.0,0.8382223369027639
200,1,500,0.7,1,10,800,1.0,0.8382223369027639
201,1,500,0.7,1,10,850,1.0,0.8382223369027639
202,1,500,0.7,1,10,900,1.0,0.8382223369027639
203,1,500,0.7,1,10,950,1.0,0.8382223369027639
204,1,500,0.8,1,10,400,0.9319999999999999,0.5323301758451209
205,1,500,0.8,1,10,450,0.948,0.5323301758451209
206,1,500,0.8,1,10,500,0.956,0.5323301758451209
207,1,500,0.8,1,10,550,0.988,0.5323301758451209
208,1,500,0.8,1,10,600,0.998,0.5323301758451209
209,1,500,0.8,1,10,650,1.0,0.5323301758451209
210,1,500,0.8,1,10,700,1.0,0.5323301758451209
211,1,500,0.8,1,10,750,1.0,0.5323301758451209
212,1,500,0.8,1,10,800,1.0,0.5323301758451209
213,1,500,0.8,1,10,850,1.0,0.5323301758451209
214,1,500,0.8,1,10,900,1.0,0.5323301758451209
215,1,500,0.8,1,10,950,1.0,0.5323301758451209
216,1,500,0.9,1,10,400,0.946,0.45991163011773734
217,1,500,0.9,1,10,450,0.966,0.45991163011773734
218,1,500,0.9,1,10,500,0.982,0.45991163011773734
219,1,500,0.9,1,10,550,0.988,0.45991163011773734
220,1,500,0.9,1,10,600,1.0,0.45991163011773734
221,1,500,0.9,1,10,650,1.0,0.45991163011773734
222,1,500,0.9,1,10,700,1.0,0.45991163011773734
223,1,500,0.9,1,10,750,1.0,0.45991163011773734
224,1,500,0.9,1,10,800,1.0,0.45991163011773734
225,1,500,0.9,1,10,850,1.0,0.45991163011773734
226,1,500,0.9,1,10,900,1.0,0.45991163011773734
227,1,500,0.9,1,10,950,1.0,0.45991163011773734
228,1,500,1.0,1,10,400,0.954,0.34032265148136615
229,1,500,1.0,1,10,450,0.958,0.34032265148136615
230,1,500,1.0,1,10,500,0.986,0.34032265148136615
231,1,500,1.0,1,10,550,0.992,0.34032265148136615
232,1,500,1.0,1,10,600,1.0,0.34032265148136615
233,1,500,1.0,1,10,650,1.0,0.34032265148136615
234,1,500,1.0,1,10,700,1.0,0.34032265148136615
235,1,500,1.0,1,10,750,1.0,0.34032265148136615
236,1,500,1.0,1,10,800,1.0,0.34032265148136615
237,1,500,1.0,1,10,850,1.0,0.34032265148136615
238,1,500,1.0,1,10,900,1.0,0.34032265148136615
239,1,500,1.0,1,10,950,1.0,0.34032265148136615
240,1,500,1.1,1,10,400,0.95,0.28876161687385377
241,1,500,1.1,1,10,450,0.948,0.28876161687385377
242,1,500,1.1,1,10,500,0.982,0.28876161687385377
243,1,500,1.1,1,10,550,0.996,0.28876161687385377
244,1,500,1.1,1,10,600,0.998,0.28876161687385377
245,1,500,1.1,1,10,650,1.0,0.28876161687385377
246,1,500,1.1,1,10,700,1.0,0.28876161687385377
247,1,500,1.1,1,10,750,1.0,0.28876161687385377
248,1,500,1.1,1,10,800,1.0,0.28876161687385377
249,1,500,1.1,1,10,850,1.0,0.28876161687385377
250,1,500,1.1,1,10,900,1.0,0.28876161687385377
251,1,500,1.1,1,10,950,1.0,0.28876161687385377
252,1,500,1.2,1,10,400,0.928,0.28560418523495684
253,1,500,1.2,1,10,450,0.974,0.28560418523495684
254,1,500,1.2,1,10,500,0.988,0.28560418523495684
255,1,500,1.2,1,10,550,0.994,0.28560418523495684
256,1,500,1.2,1,10,600,0.998,0.28560418523495684
257,1,500,1.2,1,10,650,1.0,0.28560418523495684
258,1,500,1.2,1,10,700,1.0,0.28560418523495684
259,1,500,1.2,1,10,750,1.0,0.28560418523495684
260,1,500,1.2,1,10,800,1.0,0.28560418523495684
261,1,500,1.2,1,10,850,1.0,0.28560418523495684
262,1,500,1.2,1,10,900,1.0,0.28560418523495684
263,1,500,1.2,1,10,950,1.0,0.28560418523495684
264,1,500,1.3,1,10,400,0.948,0.20873813061139457
265,1,500,1.3,1,10,450,0.946,0.20873813061139457
266,1,500,1.3,1,10,500,0.982,0.20873813061139457
267,1,500,1.3,1,10,550,0.994,0.20873813061139457
268,1,500,1.3,1,10,600,1.0,0.20873813061139457
269,1,500,1.3,1,10,650,1.0,0.20873813061139457
270,1,500,1.3,1,10,700,1.0,0.20873813061139457
271,1,500,1.3,1,10,750,1.0,0.20873813061139457
272,1,500,1.3,1,10,800,1.0,0.20873813061139457
273,1,500,1.3,1,10,850,1.0,0.20873813061139457
274,1,500,1.3,1,10,900,1.0,0.20873813061139457
275,1,500,1.3,1,10,950,1.0,0.20873813061139457
276,1,500,1.4,1,10,400,0.952,0.17853145437118598
277,1,500,1.4,1,10,450,0.958,0.17853145437118598
278,1,500,1.4,1,10,500,0.992,0.17853145437118598
279,1,500,1.4,1,10,550,0.998,0.17853145437118598
280,1,500,1.4,1,10,600,1.0,0.17853145437118598
281,1,500,1.4,1,10,650,1.0,0.17853145437118598
282,1,500,1.4,1,10,700,1.0,0.17853145437118598
283,1,500,1.4,1,10,750,1.0,0.17853145437118598
284,1,500,1.4,1,10,800,1.0,0.17853145437118598
285,1,500,1.4,1,10,850,1.0,0.17853145437118598
286,1,500,1.4,1,10,900,1.0,0.17853145437118598
287,1,500,1.4,1,10,950,1.0,0.17853145437118598
288,2,500,0.3,1,10,400,0.714,3.8999104639876534
289,2,500,0.3,1,10,450,0.736,3.8999104639876534
290,2,500,0.3,1,10,500,0.758,3.8999104639876534
291,2,500,0.3,1,10,550,0.764,3.8999104639876534
292,2,500,0.3,1,10,600,0.8,3.8999104639876534
293,2,500,0.3,1,10,650,0.81,3.8999104639876534
294,2,500,0.3,1,10,700,0.842,3.8999104639876534
295,2,500,0.3,1,10,750,0.858,3.8999104639876534
296,2,500,0.3,1,10,800,0.8140000000000001,3.8999104639876534
297,2,500,0.3,1,10,850,0.84,3.8999104639876534
298,2,500,0.3,1,10,900,0.854,3.8999104639876534
299,2,500,0.3,1,10,950,0.834,3.8999104639876534
300,2,500,0.4,1,10,400,0.864,2.068616342608108
301,2,500,0.4,1,10,450,0.852,2.068616342608108
302,2,500,0.4,1,10,500,0.848,2.068616342608108
303,2,500,0.4,1,10,550,0.89,2.068616342608108
304,2,500,0.4,1,10,600,0.924,2.068616342608108
305,2,500,0.4,1,10,650,0.906,2.068616342608108
306,2,500,0.4,1,10,700,0.916,2.068616342608108
307,2,500,0.4,1,10,750,0.924,2.068616342608108
308,2,500,0.4,1,10,800,0.964,2.068616342608108
309,2,500,0.4,1,10,850,0.956,2.068616342608108
310,2,500,0.4,1,10,900,0.966,2.068616342608108
311,2,500,0.4,1,10,950,0.956,2.068616342608108
312,2,500,0.5,1,10,400,0.874,1.4522858434913362
313,2,500,0.5,1,10,450,0.888,1.4522858434913362
314,2,500,0.5,1,10,500,0.91,1.4522858434913362
315,2,500,0.5,1,10,550,0.944,1.4522858434913362
316,2,500,0.5,1,10,600,0.962,1.4522858434913362
317,2,500,0.5,1,10,650,0.96,1.4522858434913362
318,2,500,0.5,1,10,700,0.982,1.4522858434913362
319,2,500,0.5,1,10,750,0.986,1.4522858434913362
320,2,500,0.5,1,10,800,0.994,1.4522858434913362
321,2,500,0.5,1,10,850,1.0,1.4522858434913362
322,2,500,0.5,1,10,900,0.998,1.4522858434913362
323,2,500,0.5,1,10,950,0.994,1.4522858434913362
324,2,500,0.6,1,10,400,0.916,0.9967001510205727
325,2,500,0.6,1,10,450,0.9339999999999999,0.9967001510205727
326,2,500,0.6,1,10,500,0.964,0.9967001510205727
327,2,500,0.6,1,10,550,0.982,0.9967001510205727
328,2,500,0.6,1,10,600,0.98,0.9967001510205727
329,2,500,0.6,1,10,650,0.996,0.9967001510205727
330,2,500,0.6,1,10,700,1.0,0.9967001510205727
331,2,500,0.6,1,10,750,1.0,0.9967001510205727
332,2,500,0.6,1,10,800,1.0,0.9967001510205727
333,2,500,0.6,1,10,850,0.996,0.9967001510205727
334,2,500,0.6,1,10,900,1.0,0.9967001510205727
335,2,500,0.6,1,10,950,1.0,0.9967001510205727
336,2,500,0.7,1,10,400,0.916,0.7328872523065456
337,2,500,0.7,1,10,450,0.944,0.7328872523065456
338,2,500,0.7,1,10,500,0.966,0.7328872523065456
339,2,500,0.7,1,10,550,0.984,0.7328872523065456
340,2,500,0.7,1,10,600,0.994,0.7328872523065456
341,2,500,0.7,1,10,650,0.99,0.7328872523065456
342,2,500,0.7,1,10,700,0.998,0.7328872523065456
343,2,500,0.7,1,10,750,0.998,0.7328872523065456
344,2,500,0.7,1,10,800,1.0,0.7328872523065456
345,2,500,0.7,1,10,850,1.0,0.7328872523065456
346,2,500,0.7,1,10,900,1.0,0.7328872523065456
347,2,500,0.7,1,10,950,1.0,0.7328872523065456
348,2,500,0.8,1,10,400,0.928,0.5578714036694293
349,2,500,0.8,1,10,450,0.956,0.5578714036694293
350,2,500,0.8,1,10,500,0.992,0.5578714036694293
351,2,500,0.8,1,10,550,0.982,0.5578714036694293
352,2,500,0.8,1,10,600,0.996,0.5578714036694293
353,2,500,0.8,1,10,650,1.0,0.5578714036694293
354,2,500,0.8,1,10,700,1.0,0.5578714036694293
355,2,500,0.8,1,10,750,1.0,0.5578714036694293
356,2,500,0.8,1,10,800,1.0,0.5578714036694293
357,2,500,0.8,1,10,850,1.0,0.5578714036694293
358,2,500,0.8,1,10,900,1.0,0.5578714036694293
359,2,500,0.8,1,10,950,1.0,0.5578714036694293
360,2,500,0.9,1,10,400,0.924,0.5078618660325458
361,2,500,0.9,1,10,450,0.958,0.5078618660325458
362,2,500,0.9,1,10,500,0.99,0.5078618660325458
363,2,500,0.9,1,10,550,0.998,0.5078618660325458
364,2,500,0.9,1,10,600,0.994,0.5078618660325458
365,2,500,0.9,1,10,650,1.0,0.5078618660325458
366,2,500,0.9,1,10,700,1.0,0.5078618660325458
367,2,500,0.9,1,10,750,1.0,0.5078618660325458
368,2,500,0.9,1,10,800,1.0,0.5078618660325458
369,2,500,0.9,1,10,850,1.0,0.5078618660325458
370,2,500,0.9,1,10,900,1.0,0.5078618660325458
371,2,500,0.9,1,10,950,1.0,0.5078618660325458
372,2,500,1.0,1,10,400,0.944,0.3276579136557848
373,2,500,1.0,1,10,450,0.968,0.3276579136557848
374,2,500,1.0,1,10,500,0.988,0.3276579136557848
375,2,500,1.0,1,10,550,0.99,0.3276579136557848
376,2,500,1.0,1,10,600,1.0,0.3276579136557848
377,2,500,1.0,1,10,650,1.0,0.3276579136557848
378,2,500,1.0,1,10,700,1.0,0.3276579136557848
379,2,500,1.0,1,10,750,1.0,0.3276579136557848
380,2,500,1.0,1,10,800,1.0,0.3276579136557848
381,2,500,1.0,1,10,850,1.0,0.3276579136557848
382,2,500,1.0,1,10,900,1.0,0.3276579136557848
383,2,500,1.0,1,10,950,1.0,0.3276579136557848
384,2,500,1.1,1,10,400,0.948,0.3086451346164919
385,2,500,1.1,1,10,450,0.954,0.3086451346164919
386,2,500,1.1,1,10,500,0.984,0.3086451346164919
387,2,500,1.1,1,10,550,0.992,0.3086451346164919
388,2,500,1.1,1,10,600,1.0,0.3086451346164919
389,2,500,1.1,1,10,650,1.0,0.3086451346164919
390,2,500,1.1,1,10,700,1.0,0.3086451346164919
391,2,500,1.1,1,10,750,1.0,0.3086451346164919
392,2,500,1.1,1,10,800,1.0,0.3086451346164919
393,2,500,1.1,1,10,850,1.0,0.3086451346164919
394,2,500,1.1,1,10,900,1.0,0.3086451346164919
395,2,500,1.1,1,10,950,1.0,0.3086451346164919
396,2,500,1.2,1,10,400,0.964,0.23161798251100266
397,2,500,1.2,1,10,450,0.962,0.23161798251100266
398,2,500,1.2,1,10,500,0.992,0.23161798251100266
399,2,500,1.2,1,10,550,0.998,0.23161798251100266
400,2,500,1.2,1,10,600,0.996,0.23161798251100266
401,2,500,1.2,1,10,650,1.0,0.23161798251100266
402,2,500,1.2,1,10,700,1.0,0.23161798251100266
403,2,500,1.2,1,10,750,1.0,0.23161798251100266
404,2,500,1.2,1,10,800,1.0,0.23161798251100266
405,2,500,1.2,1,10,850,1.0,0.23161798251100266
406,2,500,1.2,1,10,900,1.0,0.23161798251100266
407,2,500,1.2,1,10,950,1.0,0.23161798251100266
408,2,500,1.3,1,10,400,0.954,0.20569857540195585
409,2,500,1.3,1,10,450,0.954,0.20569857540195585
410,2,500,1.3,1,10,500,0.984,0.20569857540195585
411,2,500,1.3,1,10,550,0.994,0.20569857540195585
412,2,500,1.3,1,10,600,0.998,0.20569857540195585
413,2,500,1.3,1,10,650,1.0,0.20569857540195585
414,2,500,1.3,1,10,700,1.0,0.20569857540195585
415,2,500,1.3,1,10,750,1.0,0.20569857540195585
416,2,500,1.3,1,10,800,1.0,0.20569857540195585
417,2,500,1.3,1,10,850,1.0,0.20569857540195585
418,2,500,1.3,1,10,900,1.0,0.20569857540195585
419,2,500,1.3,1,10,950,1.0,0.20569857540195585
420,2,500,1.4,1,10,400,0.908,0.1926620371419875
421,2,500,1.4,1,10,450,0.978,0.1926620371419875
422,2,500,1.4,1,10,500,0.966,0.1926620371419875
423,2,500,1.4,1,10,550,0.99,0.1926620371419875
424,2,500,1.4,1,10,600,1.0,0.1926620371419875
425,2,500,1.4,1,10,650,1.0,0.1926620371419875
426,2,500,1.4,1,10,700,1.0,0.1926620371419875
427,2,500,1.4,1,10,750,1.0,0.1926620371419875
428,2,500,1.4,1,10,800,1.0,0.1926620371419875
429,2,500,1.4,1,10,850,1.0,0.1926620371419875
430,2,500,1.4,1,10,900,1.0,0.1926620371419875
431,2,500,1.4,1,10,950,1.0,0.1926620371419875
