,trial,n,epsilon,dn_epsilon,num_queries,percent_reconstructed,mechanism_error
0,0,500,0.3,10,400,0.752,3.407999511868886
1,0,500,0.3,10,450,0.702,3.407999511868886
2,0,500,0.3,10,500,0.762,3.407999511868886
3,0,500,0.3,10,550,0.756,3.407999511868886
4,0,500,0.3,10,600,0.744,3.407999511868886
5,0,500,0.3,10,650,0.778,3.407999511868886
6,0,500,0.3,10,700,0.8160000000000001,3.407999511868886
7,0,500,0.3,10,750,0.8,3.407999511868886
8,0,500,0.3,10,800,0.846,3.407999511868886
9,0,500,0.3,10,850,0.768,3.407999511868886
10,0,500,0.3,10,900,0.83,3.407999511868886
11,0,500,0.3,10,950,0.8240000000000001,3.407999511868886
12,0,500,0.4,10,400,0.83,2.4045134887814434
13,0,500,0.4,10,450,0.796,2.4045134887814434
14,0,500,0.4,10,500,0.796,2.4045134887814434
15,0,500,0.4,10,550,0.87,2.4045134887814434
16,0,500,0.4,10,600,0.834,2.4045134887814434
17,0,500,0.4,10,650,0.878,2.4045134887814434
18,0,500,0.4,10,700,0.834,2.4045134887814434
19,0,500,0.4,10,750,0.85,2.4045134887814434
20,0,500,0.4,10,800,0.854,2.4045134887814434
21,0,500,0.4,10,850,0.866,2.4045134887814434
22,0,500,0.4,10,900,0.884,2.4045134887814434
23,0,500,0.4,10,950,0.914,2.4045134887814434
24,0,500,0.5,10,400,0.854,2.079596950386403
25,0,500,0.5,10,450,0.836,2.079596950386403
26,0,500,0.5,10,500,0.878,2.079596950386403
27,0,500,0.5,10,550,0.868,2.079596950386403
28,0,500,0.5,10,600,0.89,2.079596950386403
29,0,500,0.5,10,650,0.884,2.079596950386403
30,0,500,0.5,10,700,0.9359999999999999,2.079596950386403
31,0,500,0.5,10,750,0.9359999999999999,2.079596950386403
32,0,500,0.5,10,800,0.918,2.079596950386403
33,0,500,0.5,10,850,0.938,2.079596950386403
34,0,500,0.5,10,900,0.958,2.079596950386403
35,0,500,0.5,10,950,0.972,2.079596950386403
36,0,500,0.6,10,400,0.834,1.5905639061918173
37,0,500,0.6,10,450,0.862,1.5905639061918173
38,0,500,0.6,10,500,0.892,1.5905639061918173
39,0,500,0.6,10,550,0.898,1.5905639061918173
40,0,500,0.6,10,600,0.944,1.5905639061918173
41,0,500,0.6,10,650,0.966,1.5905639061918173
42,0,500,0.6,10,700,0.956,1.5905639061918173
43,0,500,0.6,10,750,0.94,1.5905639061918173
44,0,500,0.6,10,800,0.958,1.5905639061918173
45,0,500,0.6,10,850,0.98,1.5905639061918173
46,0,500,0.6,10,900,0.98,1.5905639061918173
47,0,500,0.6,10,950,0.97,1.5905639061918173
48,0,500,0.7,10,400,0.878,1.4216472786687848
49,0,500,0.7,10,450,0.888,1.4216472786687848
50,0,500,0.7,10,500,0.9299999999999999,1.4216472786687848
51,0,500,0.7,10,550,0.916,1.4216472786687848
52,0,500,0.7,10,600,0.956,1.4216472786687848
53,0,500,0.7,10,650,0.966,1.4216472786687848
54,0,500,0.7,10,700,0.966,1.4216472786687848
55,0,500,0.7,10,750,0.97,1.4216472786687848
56,0,500,0.7,10,800,0.97,1.4216472786687848
57,0,500,0.7,10,850,0.984,1.4216472786687848
58,0,500,0.7,10,900,0.986,1.4216472786687848
59,0,500,0.7,10,950,0.998,1.4216472786687848
60,0,500,0.8,10,400,0.844,1.3522894816039854
61,0,500,0.8,10,450,0.908,1.3522894816039854
62,0,500,0.8,10,500,0.92,1.3522894816039854
63,0,500,0.8,10,550,0.918,1.3522894816039854
64,0,500,0.8,10,600,0.952,1.3522894816039854
65,0,500,0.8,10,650,0.97,1.3522894816039854
66,0,500,0.8,10,700,0.966,1.3522894816039854
67,0,500,0.8,10,750,0.988,1.3522894816039854
68,0,500,0.8,10,800,0.992,1.3522894816039854
69,0,500,0.8,10,850,0.99,1.3522894816039854
70,0,500,0.8,10,900,0.994,1.3522894816039854
71,0,500,0.8,10,950,0.998,1.3522894816039854
72,0,500,0.9,10,400,0.88,1.0668686933802818
73,0,500,0.9,10,450,0.92,1.0668686933802818
74,0,500,0.9,10,500,0.938,1.0668686933802818
75,0,500,0.9,10,550,0.96,1.0668686933802818
76,0,500,0.9,10,600,0.978,1.0668686933802818
77,0,500,0.9,10,650,0.98,1.0668686933802818
78,0,500,0.9,10,700,1.0,1.0668686933802818
79,0,500,0.9,10,750,0.99,1.0668686933802818
80,0,500,0.9,10,800,1.0,1.0668686933802818
81,0,500,0.9,10,850,0.99,1.0668686933802818
82,0,500,0.9,10,900,0.998,1.0668686933802818
83,0,500,0.9,10,950,1.0,1.0668686933802818
84,0,500,1.0,10,400,0.87,1.1750938727187874
85,0,500,1.0,10,450,0.938,1.1750938727187874
86,0,500,1.0,10,500,0.944,1.1750938727187874
87,0,500,1.0,10,550,0.956,1.1750938727187874
88,0,500,1.0,10,600,0.984,1.1750938727187874
89,0,500,1.0,10,650,0.99,1.1750938727187874
90,0,500,1.0,10,700,0.992,1.1750938727187874
91,0,500,1.0,10,750,0.998,1.1750938727187874
92,0,500,1.0,10,800,0.998,1.1750938727187874
93,0,500,1.0,10,850,1.0,1.1750938727187874
94,0,500,1.0,10,900,0.998,1.1750938727187874
95,0,500,1.0,10,950,1.0,1.1750938727187874
96,0,500,1.1,10,400,0.896,0.8766780756917839
97,0,500,1.1,10,450,0.926,0.8766780756917839
98,0,500,1.1,10,500,0.954,0.8766780756917839
99,0,500,1.1,10,550,0.974,0.8766780756917839
100,0,500,1.1,10,600,0.982,0.8766780756917839
101,0,500,1.1,10,650,0.992,0.8766780756917839
102,0,500,1.1,10,700,0.994,0.8766780756917839
103,0,500,1.1,10,750,1.0,0.8766780756917839
104,0,500,1.1,10,800,0.998,0.8766780756917839
105,0,500,1.1,10,850,1.0,0.8766780756917839
106,0,500,1.1,10,900,1.0,0.8766780756917839
107,0,500,1.1,10,950,1.0,0.8766780756917839
108,0,500,1.2,10,400,0.902,1.0512150808084002
109,0,500,1.2,10,450,0.946,1.0512150808084002
110,0,500,1.2,10,500,0.962,1.0512150808084002
111,0,500,1.2,10,550,0.974,1.0512150808084002
112,0,500,1.2,10,600,0.992,1.0512150808084002
113,0,500,1.2,10,650,0.992,1.0512150808084002
114,0,500,1.2,10,700,1.0,1.0512150808084002
115,0,500,1.2,10,750,1.0,1.0512150808084002
116,0,500,1.2,10,800,1.0,1.0512150808084002
117,0,500,1.2,10,850,1.0,1.0512150808084002
118,0,500,1.2,10,900,1.0,1.0512150808084002
119,0,500,1.2,10,950,1.0,1.0512150808084002
120,0,500,1.3,10,400,0.9359999999999999,0.7363841697509572
121,0,500,1.3,10,450,0.9339999999999999,0.7363841697509572
122,0,500,1.3,10,500,0.978,0.7363841697509572
123,0,500,1.3,10,550,0.978,0.7363841697509572
124,0,500,1.3,10,600,0.992,0.7363841697509572
125,0,500,1.3,10,650,0.996,0.7363841697509572
126,0,500,1.3,10,700,0.996,0.7363841697509572
127,0,500,1.3,10,750,1.0,0.7363841697509572
128,0,500,1.3,10,800,1.0,0.7363841697509572
129,0,500,1.3,10,850,1.0,0.7363841697509572
130,0,500,1.3,10,900,1.0,0.7363841697509572
131,0,500,1.3,10,950,1.0,0.7363841697509572
132,0,500,1.4,10,400,0.9299999999999999,0.7260850872070654
133,0,500,1.4,10,450,0.9339999999999999,0.7260850872070654
134,0,500,1.4,10,500,0.966,0.7260850872070654
135,0,500,1.4,10,550,0.99,0.7260850872070654
136,0,500,1.4,10,600,1.0,0.7260850872070654
137,0,500,1.4,10,650,0.998,0.7260850872070654
138,0,500,1.4,10,700,1.0,0.7260850872070654
139,0,500,1.4,10,750,1.0,0.7260850872070654
140,0,500,1.4,10,800,1.0,0.7260850872070654
141,0,500,1.4,10,850,1.0,0.7260850872070654
142,0,500,1.4,10,900,1.0,0.7260850872070654
143,0,500,1.4,10,950,1.0,0.7260850872070654
144,1,500,0.3,10,400,0.718,3.896056141554864
145,1,500,0.3,10,450,0.764,3.896056141554864
146,1,500,0.3,10,500,0.718,3.896056141554864
147,1,500,0.3,10,550,0.77,3.896056141554864
148,1,500,0.3,10,600,0.75,3.896056141554864
149,1,500,0.3,10,650,0.746,3.896056141554864
150,1,500,0.3,10,700,0.78,3.896056141554864
151,1,500,0.3,10,750,0.844,3.896056141554864
152,1,500,0.3,10,800,0.746,3.896056141554864
153,1,500,0.3,10,850,0.786,3.896056141554864
154,1,500,0.3,10,900,0.78,3.896056141554864
155,1,500,0.3,10,950,0.784,3.896056141554864
156,1,500,0.4,10,400,0.79,2.298032683416732
157,1,500,0.4,10,450,0.782,2.298032683416732
158,1,500,0.4,10,500,0.8140000000000001,2.298032683416732
159,1,500,0.4,10,550,0.802,2.298032683416732
160,1,500,0.4,10,600,0.808,2.298032683416732
161,1,500,0.4,10,650,0.8180000000000001,2.298032683416732
162,1,500,0.4,10,700,0.868,2.298032683416732
163,1,500,0.4,10,750,0.8240000000000001,2.298032683416732
164,1,500,0.4,10,800,0.85,2.298032683416732
165,1,500,0.4,10,850,0.894,2.298032683416732
166,1,500,0.4,10,900,0.91,2.298032683416732
167,1,500,0.4,10,950,0.862,2.298032683416732
168,1,500,0.5,10,400,0.8280000000000001,1.7005699268980663
169,1,500,0.5,10,450,0.864,1.7005699268980663
170,1,500,0.5,10,500,0.87,1.7005699268980663
171,1,500,0.5,10,550,0.876,1.7005699268980663
172,1,500,0.5,10,600,0.878,1.7005699268980663
173,1,500,0.5,10,650,0.92,1.7005699268980663
174,1,500,0.5,10,700,0.91,1.7005699268980663
175,1,500,0.5,10,750,0.928,1.7005699268980663
176,1,500,0.5,10,800,0.924,1.7005699268980663
177,1,500,0.5,10,850,0.928,1.7005699268980663
178,1,500,0.5,10,900,0.948,1.7005699268980663
179,1,500,0.5,10,950,0.952,1.7005699268980663
180,1,500,0.6,10,400,0.834,1.4820969733902778
181,1,500,0.6,10,450,0.866,1.4820969733902778
182,1,500,0.6,10,500,0.904,1.4820969733902778
183,1,500,0.6,10,550,0.88,1.4820969733902778
184,1,500,0.6,10,600,0.944,1.4820969733902778
185,1,500,0.6,10,650,0.938,1.4820969733902778
186,1,500,0.6,10,700,0.926,1.4820969733902778
187,1,500,0.6,10,750,0.962,1.4820969733902778
188,1,500,0.6,10,800,0.964,1.4820969733902778
189,1,500,0.6,10,850,0.966,1.4820969733902778
190,1,500,0.6,10,900,0.968,1.4820969733902778
191,1,500,0.6,10,950,0.982,1.4820969733902778
192,1,500,0.7,10,400,0.852,1.7919919165130944
193,1,500,0.7,10,450,0.88,1.7919919165130944
194,1,500,0.7,10,500,0.906,1.7919919165130944
195,1,500,0.7,10,550,0.94,1.7919919165130944
196,1,500,0.7,10,600,0.944,1.7919919165130944
197,1,500,0.7,10,650,0.958,1.7919919165130944
198,1,500,0.7,10,700,0.964,1.7919919165130944
199,1,500,0.7,10,750,0.982,1.7919919165130944
200,1,500,0.7,10,800,0.976,1.7919919165130944
201,1,500,0.7,10,850,0.992,1.7919919165130944
202,1,500,0.7,10,900,0.99,1.7919919165130944
203,1,500,0.7,10,950,0.992,1.7919919165130944
204,1,500,0.8,10,400,0.854,1.0499549238617483
205,1,500,0.8,10,450,0.876,1.0499549238617483
206,1,500,0.8,10,500,0.918,1.0499549238617483
207,1,500,0.8,10,550,0.952,1.0499549238617483
208,1,500,0.8,10,600,0.95,1.0499549238617483
209,1,500,0.8,10,650,0.982,1.0499549238617483
210,1,500,0.8,10,700,0.982,1.0499549238617483
211,1,500,0.8,10,750,0.992,1.0499549238617483
212,1,500,0.8,10,800,0.994,1.0499549238617483
213,1,500,0.8,10,850,0.986,1.0499549238617483
214,1,500,0.8,10,900,0.994,1.0499549238617483
215,1,500,0.8,10,950,0.996,1.0499549238617483
216,1,500,0.9,10,400,0.92,1.0173353782882961
217,1,500,0.9,10,450,0.89,1.0173353782882961
218,1,500,0.9,10,500,0.924,1.0173353782882961
219,1,500,0.9,10,550,0.968,1.0173353782882961
220,1,500,0.9,10,600,0.974,1.0173353782882961
221,1,500,0.9,10,650,0.974,1.0173353782882961
222,1,500,0.9,10,700,0.982,1.0173353782882961
223,1,500,0.9,10,750,0.998,1.0173353782882961
224,1,500,0.9,10,800,1.0,1.0173353782882961
225,1,500,0.9,10,850,1.0,1.0173353782882961
226,1,500,0.9,10,900,1.0,1.0173353782882961
227,1,500,0.9,10,950,0.998,1.0173353782882961
228,1,500,1.0,10,400,0.89,1.222934866271892
229,1,500,1.0,10,450,0.908,1.222934866271892
230,1,500,1.0,10,500,0.944,1.222934866271892
231,1,500,1.0,10,550,0.946,1.222934866271892
232,1,500,1.0,10,600,0.97,1.222934866271892
233,1,500,1.0,10,650,1.0,1.222934866271892
234,1,500,1.0,10,700,0.996,1.222934866271892
235,1,500,1.0,10,750,0.998,1.222934866271892
236,1,500,1.0,10,800,0.998,1.222934866271892
237,1,500,1.0,10,850,0.998,1.222934866271892
238,1,500,1.0,10,900,1.0,1.222934866271892
239,1,500,1.0,10,950,0.998,1.222934866271892
240,1,500,1.1,10,400,0.89,0.7305394943934573
241,1,500,1.1,10,450,0.912,0.7305394943934573
242,1,500,1.1,10,500,0.954,0.7305394943934573
243,1,500,1.1,10,550,0.97,0.7305394943934573
244,1,500,1.1,10,600,0.99,0.7305394943934573
245,1,500,1.1,10,650,0.992,0.7305394943934573
246,1,500,1.1,10,700,0.994,0.7305394943934573
247,1,500,1.1,10,750,1.0,0.7305394943934573
248,1,500,1.1,10,800,0.998,0.7305394943934573
249,1,500,1.1,10,850,1.0,0.7305394943934573
250,1,500,1.1,10,900,0.998,0.7305394943934573
251,1,500,1.1,10,950,1.0,0.7305394943934573
252,1,500,1.2,10,400,0.918,0.7672710610666374
253,1,500,1.2,10,450,0.924,0.7672710610666374
254,1,500,1.2,10,500,0.962,0.7672710610666374
255,1,500,1.2,10,550,0.98,0.7672710610666374
256,1,500,1.2,10,600,0.992,0.7672710610666374
257,1,500,1.2,10,650,0.992,0.7672710610666374
258,1,500,1.2,10,700,0.998,0.7672710610666374
259,1,500,1.2,10,750,1.0,0.7672710610666374
260,1,500,1.2,10,800,1.0,0.7672710610666374
261,1,500,1.2,10,850,1.0,0.7672710610666374
262,1,500,1.2,10,900,1.0,0.7672710610666374
263,1,500,1.2,10,950,1.0,0.7672710610666374
264,1,500,1.3,10,400,0.916,0.7387057491856888
265,1,500,1.3,10,450,0.92,0.7387057491856888
266,1,500,1.3,10,500,0.948,0.7387057491856888
267,1,500,1.3,10,550,0.984,0.7387057491856888
268,1,500,1.3,10,600,0.998,0.7387057491856888
269,1,500,1.3,10,650,0.998,0.7387057491856888
270,1,500,1.3,10,700,1.0,0.7387057491856888
271,1,500,1.3,10,750,1.0,0.7387057491856888
272,1,500,1.3,10,800,1.0,0.7387057491856888
273,1,500,1.3,10,850,1.0,0.7387057491856888
274,1,500,1.3,10,900,1.0,0.7387057491856888
275,1,500,1.3,10,950,1.0,0.7387057491856888
276,1,500,1.4,10,400,0.914,0.6277294071505355
277,1,500,1.4,10,450,0.946,0.6277294071505355
278,1,500,1.4,10,500,0.958,0.6277294071505355
279,1,500,1.4,10,550,0.976,0.6277294071505355
280,1,500,1.4,10,600,0.996,0.6277294071505355
281,1,500,1.4,10,650,0.996,0.6277294071505355
282,1,500,1.4,10,700,1.0,0.6277294071505355
283,1,500,1.4,10,750,1.0,0.6277294071505355
284,1,500,1.4,10,800,1.0,0.6277294071505355
285,1,500,1.4,10,850,1.0,0.6277294071505355
286,1,500,1.4,10,900,1.0,0.6277294071505355
287,1,500,1.4,10,950,1.0,0.6277294071505355
288,2,500,0.3,10,400,0.738,3.557640256902799
289,2,500,0.3,10,450,0.774,3.557640256902799
290,2,500,0.3,10,500,0.746,3.557640256902799
291,2,500,0.3,10,550,0.762,3.557640256902799
292,2,500,0.3,10,600,0.808,3.557640256902799
293,2,500,0.3,10,650,0.77,3.557640256902799
294,2,500,0.3,10,700,0.738,3.557640256902799
295,2,500,0.3,10,750,0.762,3.557640256902799
296,2,500,0.3,10,800,0.792,3.557640256902799
297,2,500,0.3,10,850,0.782,3.557640256902799
298,2,500,0.3,10,900,0.77,3.557640256902799
299,2,500,0.3,10,950,0.762,3.557640256902799
300,2,500,0.4,10,400,0.78,2.3742548718279055
301,2,500,0.4,10,450,0.798,2.3742548718279055
302,2,500,0.4,10,500,0.84,2.3742548718279055
303,2,500,0.4,10,550,0.836,2.3742548718279055
304,2,500,0.4,10,600,0.838,2.3742548718279055
305,2,500,0.4,10,650,0.86,2.3742548718279055
306,2,500,0.4,10,700,0.852,2.3742548718279055
307,2,500,0.4,10,750,0.89,2.3742548718279055
308,2,500,0.4,10,800,0.854,2.3742548718279055
309,2,500,0.4,10,850,0.898,2.3742548718279055
310,2,500,0.4,10,900,0.884,2.3742548718279055
311,2,500,0.4,10,950,0.884,2.3742548718279055
312,2,500,0.5,10,400,0.8140000000000001,2.046207276101202
313,2,500,0.5,10,450,0.836,2.046207276101202
314,2,500,0.5,10,500,0.88,2.046207276101202
315,2,500,0.5,10,550,0.908,2.046207276101202
316,2,500,0.5,10,600,0.884,2.046207276101202
317,2,500,0.5,10,650,0.91,2.046207276101202
318,2,500,0.5,10,700,0.916,2.046207276101202
319,2,500,0.5,10,750,0.928,2.046207276101202
320,2,500,0.5,10,800,0.928,2.046207276101202
321,2,500,0.5,10,850,0.914,2.046207276101202
322,2,500,0.5,10,900,0.962,2.046207276101202
323,2,500,0.5,10,950,0.922,2.046207276101202
324,2,500,0.6,10,400,0.846,1.6822555500397498
325,2,500,0.6,10,450,0.856,1.6822555500397498
326,2,500,0.6,10,500,0.892,1.6822555500397498
327,2,500,0.6,10,550,0.884,1.6822555500397498
328,2,500,0.6,10,600,0.938,1.6822555500397498
329,2,500,0.6,10,650,0.938,1.6822555500397498
330,2,500,0.6,10,700,0.926,1.6822555500397498
331,2,500,0.6,10,750,0.964,1.6822555500397498
332,2,500,0.6,10,800,0.982,1.6822555500397498
333,2,500,0.6,10,850,0.978,1.6822555500397498
334,2,500,0.6,10,900,0.978,1.6822555500397498
335,2,500,0.6,10,950,0.976,1.6822555500397498
336,2,500,0.7,10,400,0.872,1.1925020085662903
337,2,500,0.7,10,450,0.892,1.1925020085662903
338,2,500,0.7,10,500,0.876,1.1925020085662903
339,2,500,0.7,10,550,0.948,1.1925020085662903
340,2,500,0.7,10,600,0.938,1.1925020085662903
341,2,500,0.7,10,650,0.96,1.1925020085662903
342,2,500,0.7,10,700,0.964,1.1925020085662903
343,2,500,0.7,10,750,0.968,1.1925020085662903
344,2,500,0.7,10,800,0.988,1.1925020085662903
345,2,500,0.7,10,850,0.994,1.1925020085662903
346,2,500,0.7,10,900,0.984,1.1925020085662903
347,2,500,0.7,10,950,0.984,1.1925020085662903
348,2,500,0.8,10,400,0.896,1.408388941044537
349,2,500,0.8,10,450,0.894,1.408388941044537
350,2,500,0.8,10,500,0.9339999999999999,1.408388941044537
351,2,500,0.8,10,550,0.926,1.408388941044537
352,2,500,0.8,10,600,0.972,1.408388941044537
353,2,500,0.8,10,650,0.978,1.408388941044537
354,2,500,0.8,10,700,0.968,1.408388941044537
355,2,500,0.8,10,750,0.986,1.408388941044537
356,2,500,0.8,10,800,0.98,1.408388941044537
357,2,500,0.8,10,850,0.996,1.408388941044537
358,2,500,0.8,10,900,1.0,1.408388941044537
359,2,500,0.8,10,950,0.988,1.408388941044537
360,2,500,0.9,10,400,0.906,1.116835050373463
361,2,500,0.9,10,450,0.882,1.116835050373463
362,2,500,0.9,10,500,0.918,1.116835050373463
363,2,500,0.9,10,550,0.956,1.116835050373463
364,2,500,0.9,10,600,0.96,1.116835050373463
365,2,500,0.9,10,650,0.978,1.116835050373463
366,2,500,0.9,10,700,0.992,1.116835050373463
367,2,500,0.9,10,750,0.994,1.116835050373463
368,2,500,0.9,10,800,0.992,1.116835050373463
369,2,500,0.9,10,850,0.996,1.116835050373463
370,2,500,0.9,10,900,0.998,1.116835050373463
371,2,500,0.9,10,950,0.998,1.116835050373463
372,2,500,1.0,10,400,0.916,0.8716756766323903
373,2,500,1.0,10,450,0.918,0.8716756766323903
374,2,500,1.0,10,500,0.952,0.8716756766323903
375,2,500,1.0,10,550,0.962,0.8716756766323903
376,2,500,1.0,10,600,0.976,0.8716756766323903
377,2,500,1.0,10,650,0.99,0.8716756766323903
378,2,500,1.0,10,700,0.994,0.8716756766323903
379,2,500,1.0,10,750,0.996,0.8716756766323903
380,2,500,1.0,10,800,1.0,0.8716756766323903
381,2,500,1.0,10,850,1.0,0.8716756766323903
382,2,500,1.0,10,900,0.996,0.8716756766323903
383,2,500,1.0,10,950,1.0,0.8716756766323903
384,2,500,1.1,10,400,0.902,0.8423796555938629
385,2,500,1.1,10,450,0.94,0.8423796555938629
386,2,500,1.1,10,500,0.958,0.8423796555938629
387,2,500,1.1,10,550,0.982,0.8423796555938629
388,2,500,1.1,10,600,0.992,0.8423796555938629
389,2,500,1.1,10,650,0.99,0.8423796555938629
390,2,500,1.1,10,700,0.994,0.8423796555938629
391,2,500,1.1,10,750,1.0,0.8423796555938629
392,2,500,1.1,10,800,1.0,0.8423796555938629
393,2,500,1.1,10,850,1.0,0.8423796555938629
394,2,500,1.1,10,900,1.0,0.8423796555938629
395,2,500,1.1,10,950,1.0,0.8423796555938629
396,2,500,1.2,10,400,0.882,0.7208978262230107
397,2,500,1.2,10,450,0.902,0.7208978262230107
398,2,500,1.2,10,500,0.954,0.7208978262230107
399,2,500,1.2,10,550,0.97,0.7208978262230107
400,2,500,1.2,10,600,0.986,0.7208978262230107
401,2,500,1.2,10,650,0.99,0.7208978262230107
402,2,500,1.2,10,700,0.998,0.7208978262230107
403,2,500,1.2,10,750,1.0,0.7208978262230107
404,2,500,1.2,10,800,1.0,0.7208978262230107
405,2,500,1.2,10,850,1.0,0.7208978262230107
406,2,500,1.2,10,900,1.0,0.7208978262230107
407,2,500,1.2,10,950,1.0,0.7208978262230107
408,2,500,1.3,10,400,0.924,0.6756494153235508
409,2,500,1.3,10,450,0.922,0.6756494153235508
410,2,500,1.3,10,500,0.98,0.6756494153235508
411,2,500,1.3,10,550,0.962,0.6756494153235508
412,2,500,1.3,10,600,0.994,0.6756494153235508
413,2,500,1.3,10,650,1.0,0.6756494153235508
414,2,500,1.3,10,700,1.0,0.6756494153235508
415,2,500,1.3,10,750,0.998,0.6756494153235508
416,2,500,1.3,10,800,0.998,0.6756494153235508
417,2,500,1.3,10,850,1.0,0.6756494153235508
418,2,500,1.3,10,900,1.0,0.6756494153235508
419,2,500,1.3,10,950,1.0,0.6756494153235508
420,2,500,1.4,10,400,0.91,0.7644701938523707
421,2,500,1.4,10,450,0.96,0.7644701938523707
422,2,500,1.4,10,500,0.962,0.7644701938523707
423,2,500,1.4,10,550,0.984,0.7644701938523707
424,2,500,1.4,10,600,0.982,0.7644701938523707
425,2,500,1.4,10,650,0.998,0.7644701938523707
426,2,500,1.4,10,700,1.0,0.7644701938523707
427,2,500,1.4,10,750,0.998,0.7644701938523707
428,2,500,1.4,10,800,1.0,0.7644701938523707
429,2,500,1.4,10,850,1.0,0.7644701938523707
430,2,500,1.4,10,900,1.0,0.7644701938523707
431,2,500,1.4,10,950,1.0,0.7644701938523707
